speciesId,species_legacy_id,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution,validSpeciesId,taxonStatus
26384,19760,urn:lsid:nmbe.ch:spidersp:018066,Lycosidae,Hogna,nervosa,,Keyserling,1891,1,Brazil,,VALID
26385,19761,urn:lsid:nmbe.ch:spidersp:018067,Lycosidae,Hogna,nigerrima,,Roewer,1960,1,Tanzania,,VALID
26386,19762,urn:lsid:nmbe.ch:spidersp:018068,Lycosidae,Hogna,nigrichelis,,Roewer,1955,1,Iran,26478,SYNONYM
26387,19763,urn:lsid:nmbe.ch:spidersp:018069,Lycosidae,Hogna,nigrosecta,,Mello-Leitão,1940,1,Argentina,,VALID
26388,19764,urn:lsid:nmbe.ch:spidersp:018070,Lycosidae,Hogna,nimia,,Roewer,1959,0,Tanzania,,VALID
26389,19765,urn:lsid:nmbe.ch:spidersp:018071,Lycosidae,Hogna,nonannulata,,Wunderlich,1995,0,Madeira,,VALID
26390,19766,urn:lsid:nmbe.ch:spidersp:018072,Lycosidae,Hogna,nychthemera,,Bertkau,1880,1,Brazil,,VALID
26391,19767,urn:lsid:nmbe.ch:spidersp:018073,Lycosidae,Hogna,oaxacana,,"Gertsch & Wallace",1937,1,Mexico,,VALID
26392,19768,urn:lsid:nmbe.ch:spidersp:018074,Lycosidae,Hogna,ocellata,,"L. Koch",1878,1,Azerbaijan,,VALID
26393,19769,urn:lsid:nmbe.ch:spidersp:018075,Lycosidae,Hogna,ocyalina,,Simon,1910,1,Botswana,,VALID
26394,19770,urn:lsid:nmbe.ch:spidersp:018076,Lycosidae,Hogna,optabilis,,Roewer,1959,0,Congo,,VALID
26395,19771,urn:lsid:nmbe.ch:spidersp:018077,Lycosidae,Hogna,ornata,,Perty,1833,1,Brazil,,VALID
26396,19772,urn:lsid:nmbe.ch:spidersp:018078,Lycosidae,Hogna,osceola,,"Gertsch & Wallace",1937,1,USA,,VALID
26397,19773,urn:lsid:nmbe.ch:spidersp:018079,Lycosidae,Hogna,otaviensis,,Roewer,1960,1,Namibia,,VALID
